t_code_units,ps
-9.567999999999999261e+01,-6.297772003619199666e+01
-9.565999999999999659e+01,-6.296455579705399686e+01
-9.564000000000000057e+01,-6.295139155791600416e+01
-9.562000000000000455e+01,-6.293822731877800436e+01
-9.559999999999999432e+01,-6.292506307963999745e+01
-9.557999999999999829e+01,-6.291189884050199765e+01
-9.556000000000000227e+01,-6.289873460136400496e+01
-9.554000000000000625e+01,-6.288557036222600516e+01
-9.551999999999999602e+01,-6.287240612308799825e+01
-9.550000000000000000e+01,-6.285924188394999845e+01
-9.548000000000000398e+01,-6.284607764481200576e+01
-9.545999999999999375e+01,-6.283291340567399885e+01
-9.543999999999999773e+01,-6.281974916653599905e+01
-9.542000000000000171e+01,-6.280658492739799925e+01
-9.540000000000000568e+01,-6.279342068826000656e+01
-9.537999999999999545e+01,-6.278025644912199965e+01
-9.535999999999999943e+01,-6.276709220998399985e+01
-9.534000000000000341e+01,-6.275392797084600005e+01
-9.531999999999999318e+01,-6.274076373170799314e+01
-9.529999999999999716e+01,-6.272759949257000045e+01
-9.528000000000000114e+01,-6.271443525343200065e+01
-9.526000000000000512e+01,-6.270127101429400085e+01
-9.523999999999999488e+01,-6.268810677515599394e+01
-9.521999999999999886e+01,-6.267494253601800125e+01
-9.520000000000000284e+01,-6.266177829688000145e+01
-9.517999999999999261e+01,-6.264861405774199454e+01
-9.515999999999999659e+01,-6.263544981860400185e+01
-9.514000000000000057e+01,-6.262228557946600205e+01
-9.512000000000000455e+01,-6.260912134032800225e+01
-9.509999999999999432e+01,-6.259595710118999534e+01
-9.507999999999999829e+01,-6.258279286205200265e+01
-9.506000000000000227e+01,-6.256962862291400285e+01
-9.504000000000000625e+01,-6.255646438377600305e+01
-9.501999999999999602e+01,-6.254330014463799614e+01
-9.500000000000000000e+01,-6.253013590550000345e+01
-9.498000000000000398e+01,-6.251697166636200365e+01
-9.495999999999999375e+01,-6.250380742722399674e+01
-9.493999999999999773e+01,-6.249064318808599694e+01
-9.492000000000000171e+01,-6.247747894894800424e+01
-9.490000000000000568e+01,-6.246431470981000444e+01
-9.487999999999999545e+01,-6.245115047067199754e+01
-9.485999999999999943e+01,-6.243798623153399774e+01
-9.484000000000000341e+01,-6.242482199239600504e+01
-9.481999999999999318e+01,-6.241165775325799814e+01
-9.479999999999999716e+01,-6.239849351411999834e+01
-9.478000000000000114e+01,-6.238532927498199854e+01
-9.476000000000000512e+01,-6.237216503584400584e+01
-9.473999999999999488e+01,-6.235900079670599894e+01
-9.471999999999999886e+01,-6.234583655756799914e+01
-9.470000000000000284e+01,-6.233267231842999934e+01
-9.467999999999999261e+01,-6.231950807929199243e+01
-9.465999999999999659e+01,-6.230634384015399974e+01
-9.464000000000000057e+01,-6.229317960101599994e+01
-9.462000000000000455e+01,-6.228001536187800014e+01
-9.459999999999999432e+01,-6.226685112274000033e+01
-9.457999999999999829e+01,-6.225368688360200053e+01
-9.456000000000000227e+01,-6.224052264446400073e+01
-9.454000000000000625e+01,-6.222735840532600804e+01
-9.451999999999999602e+01,-6.221419416618800113e+01
-9.450000000000000000e+01,-6.220102992705000133e+01
-9.448000000000000398e+01,-6.218786568791200153e+01
-9.445999999999999375e+01,-6.217470144877399463e+01
-9.443999999999999773e+01,-6.216153720963600193e+01
-9.442000000000000171e+01,-6.214837297049800213e+01
-9.440000000000000568e+01,-6.213520873136000233e+01
-9.437999999999999545e+01,-6.212204449222199543e+01
-9.435999999999999943e+01,-6.210888025308400273e+01
-9.434000000000000341e+01,-6.209571601394600293e+01
-9.431999999999999318e+01,-6.208255177480799603e+01
-9.429999999999999716e+01,-6.206938753566999623e+01
-9.428000000000000114e+01,-6.205622329653200353e+01
-9.426000000000000512e+01,-6.204305905739400373e+01
-9.423999999999999488e+01,-6.202989481825599682e+01
-9.421999999999999886e+01,-6.201673057911799702e+01
-9.420000000000000284e+01,-6.200356633998000433e+01
-9.417999999999999261e+01,-6.199040210084199742e+01
-9.415999999999999659e+01,-6.197723786170399762e+01
-9.414000000000000057e+01,-6.196407362256599782e+01
-9.412000000000000455e+01,-6.195090938342800513e+01
-9.409999999999999432e+01,-6.193774514428999822e+01
-9.407999999999999829e+01,-6.192458090515199842e+01
-9.406000000000000227e+01,-6.191141666601399862e+01
-9.404000000000000625e+01,-6.189825242687600593e+01
-9.401999999999999602e+01,-6.188508818773799902e+01
-9.400000000000000000e+01,-6.187192394859999922e+01
-9.398000000000000398e+01,-6.185875970946200653e+01
-9.395999999999999375e+01,-6.184559547032399962e+01
-9.393999999999999773e+01,-6.183243123118599982e+01
-9.392000000000000171e+01,-6.181926699204800002e+01
-9.390000000000000568e+01,-6.180610275291000733e+01
-9.387999999999999545e+01,-6.179293851377200042e+01
-9.385999999999999943e+01,-6.177977427463400062e+01
-9.384000000000000341e+01,-6.176661003549600082e+01
-9.381999999999999318e+01,-6.175344579635799391e+01
-9.379999999999999716e+01,-6.174028155722000122e+01
-9.378000000000000114e+01,-6.172711731808200142e+01
-9.376000000000000512e+01,-6.171395307894400162e+01
-9.373999999999999488e+01,-6.170078883980599471e+01
-9.371999999999999886e+01,-6.168762460066800202e+01
-9.370000000000000284e+01,-6.167446036153000222e+01
-9.367999999999999261e+01,-6.166129612239199531e+01
-9.365999999999999659e+01,-6.164813188325399551e+01
-9.364000000000000057e+01,-6.163496764411600282e+01
-9.362000000000000455e+01,-6.162180340497800302e+01
-9.359999999999999432e+01,-6.160863916583999611e+01
-9.357999999999999829e+01,-6.159547492670199631e+01
-9.356000000000000227e+01,-6.158231068756400362e+01
-9.354000000000000625e+01,-6.156914644842600381e+01
-9.351999999999999602e+01,-6.155598220928799691e+01
-9.350000000000000000e+01,-6.154281797014999711e+01
-9.348000000000000398e+01,-6.152965373101200441e+01
-9.345999999999999375e+01,-6.151648949187399751e+01
-9.343999999999999773e+01,-6.150332525273599771e+01
-9.342000000000000171e+01,-6.149016101359800501e+01
-9.340000000000000568e+01,-6.147699677446000521e+01
-9.337999999999999545e+01,-6.146383253532199831e+01
-9.335999999999999943e+01,-6.145066829618399851e+01
-9.334000000000000341e+01,-6.143750405704600581e+01
-9.331999999999999318e+01,-6.142433981790799891e+01
-9.329999999999999716e+01,-6.141117557876999911e+01
-9.328000000000000114e+01,-6.139801133963199931e+01
-9.326000000000000512e+01,-6.138484710049400661e+01
-9.323999999999999488e+01,-6.137168286135599971e+01
-9.321999999999999886e+01,-6.135851862221799990e+01
-9.320000000000000284e+01,-6.134535438308000010e+01
-9.317999999999999261e+01,-6.133219014394199320e+01
-9.315999999999999659e+01,-6.131902590480400050e+01
-9.314000000000000057e+01,-6.130586166566600070e+01
-9.312000000000000455e+01,-6.129269742652800090e+01
-9.309999999999999432e+01,-6.127953318738999400e+01
-9.307999999999999829e+01,-6.126636894825200130e+01
-9.306000000000000227e+01,-6.125320470911400150e+01
-9.304000000000000625e+01,-6.124004046997600170e+01
-9.301999999999999602e+01,-6.122687623083799480e+01
