tau_code_units,ps
-7.879999999999999716e+01,-5.186710220372000180e+01
-7.870000000000000284e+01,-5.180128100803000279e+01
-7.859999999999999432e+01,-5.173545981233999669e+01
-7.850000000000000000e+01,-5.166963861664999769e+01
-7.839999999999999147e+01,-5.160381742095999158e+01
-7.829999999999999716e+01,-5.153799622526999968e+01
-7.820000000000000284e+01,-5.147217502958000068e+01
-7.809999999999999432e+01,-5.140635383388999458e+01
-7.800000000000000000e+01,-5.134053263820000268e+01
-7.789999999999999147e+01,-5.127471144250999657e+01
-7.779999999999999716e+01,-5.120889024681999757e+01
-7.770000000000000284e+01,-5.114306905113000568e+01
-7.759999999999999432e+01,-5.107724785543999957e+01
-7.750000000000000000e+01,-5.101142665975000057e+01
-7.739999999999999147e+01,-5.094560546405999446e+01
-7.729999999999999716e+01,-5.087978426836999546e+01
-7.720000000000000284e+01,-5.081396307268000356e+01
-7.709999999999999432e+01,-5.074814187698999746e+01
-7.700000000000000000e+01,-5.068232068129999845e+01
-7.689999999999999147e+01,-5.061649948560999235e+01
-7.679999999999999716e+01,-5.055067828992000045e+01
-7.670000000000000284e+01,-5.048485709423000145e+01
-7.659999999999999432e+01,-5.041903589853999534e+01
-7.650000000000000000e+01,-5.035321470285000345e+01
-7.639999999999999147e+01,-5.028739350715999734e+01
-7.629999999999999716e+01,-5.022157231146999834e+01
-7.620000000000000284e+01,-5.015575111577999934e+01
-7.609999999999999432e+01,-5.008992992008999323e+01
-7.600000000000000000e+01,-5.002410872440000134e+01
-7.589999999999999147e+01,-4.995828752870999523e+01
-7.579999999999999716e+01,-4.989246633301999623e+01
-7.570000000000000284e+01,-4.982664513733000433e+01
-7.559999999999999432e+01,-4.976082394163999822e+01
-7.550000000000000000e+01,-4.969500274594999922e+01
-7.539999999999999147e+01,-4.962918155025999312e+01
-7.529999999999999716e+01,-4.956336035457000122e+01
-7.520000000000000284e+01,-4.949753915888000222e+01
-7.509999999999999432e+01,-4.943171796318999611e+01
-7.500000000000000000e+01,-4.936589676749999711e+01
-7.489999999999999147e+01,-4.930007557180999811e+01
-7.479999999999999716e+01,-4.923425437611999911e+01
-7.470000000000000284e+01,-4.916843318043000011e+01
-7.459999999999999432e+01,-4.910261198473999400e+01
-7.450000000000000000e+01,-4.903679078905000210e+01
-7.439999999999999147e+01,-4.897096959335999600e+01
-7.429999999999999716e+01,-4.890514839766999700e+01
-7.420000000000000284e+01,-4.883932720198000510e+01
-7.409999999999999432e+01,-4.877350600628999899e+01
-7.400000000000000000e+01,-4.870768481059999999e+01
-7.389999999999999147e+01,-4.864186361490999388e+01
-7.379999999999999716e+01,-4.857604241922000199e+01
-7.370000000000000284e+01,-4.851022122353000299e+01
-7.359999999999999432e+01,-4.844440002783999688e+01
-7.350000000000000000e+01,-4.837857883214999788e+01
-7.339999999999999147e+01,-4.831275763645999177e+01
-7.329999999999999716e+01,-4.824693644076999988e+01
-7.320000000000000284e+01,-4.818111524508000088e+01
-7.309999999999999432e+01,-4.811529404938999477e+01
-7.300000000000000000e+01,-4.804947285370000287e+01
-7.289999999999999147e+01,-4.798365165800999677e+01
-7.279999999999999716e+01,-4.791783046231999776e+01
-7.270000000000000284e+01,-4.785200926662999876e+01
-7.259999999999999432e+01,-4.778618807093999976e+01
-7.250000000000000000e+01,-4.772036687525000076e+01
-7.239999999999999147e+01,-4.765454567955999465e+01
-7.229999999999999716e+01,-4.758872448386999565e+01
-7.220000000000000284e+01,-4.752290328818000376e+01
-7.209999999999999432e+01,-4.745708209248999765e+01
-7.200000000000000000e+01,-4.739126089679999865e+01
-7.189999999999999147e+01,-4.732543970110999254e+01
-7.179999999999999716e+01,-4.725961850542000064e+01
-7.170000000000000284e+01,-4.719379730973000164e+01
-7.159999999999999432e+01,-4.712797611403999554e+01
-7.150000000000000000e+01,-4.706215491835000364e+01
-7.139999999999999147e+01,-4.699633372265999753e+01
-7.129999999999999716e+01,-4.693051252696999853e+01
-7.120000000000000284e+01,-4.686469133127999953e+01
-7.109999999999999432e+01,-4.679887013558999342e+01
-7.100000000000000000e+01,-4.673304893990000153e+01
-7.089999999999999147e+01,-4.666722774420999542e+01
-7.079999999999999716e+01,-4.660140654851999642e+01
-7.070000000000000284e+01,-4.653558535283000452e+01
-7.059999999999999432e+01,-4.646976415713999842e+01
-7.050000000000000000e+01,-4.640394296144999942e+01
-7.039999999999999147e+01,-4.633812176575999331e+01
-7.029999999999999716e+01,-4.627230057007000141e+01
-7.020000000000000284e+01,-4.620647937438000241e+01
-7.009999999999999432e+01,-4.614065817868999630e+01
-7.000000000000000000e+01,-4.607483698299999730e+01
-6.989999999999999147e+01,-4.600901578730999830e+01
-6.979999999999999716e+01,-4.594319459161999930e+01
-6.970000000000000284e+01,-4.587737339593000030e+01
-6.959999999999999432e+01,-4.581155220023999419e+01
-6.950000000000000000e+01,-4.574573100455000230e+01
-6.939999999999999147e+01,-4.567990980885999619e+01
-6.929999999999999716e+01,-4.561408861316999719e+01
-6.920000000000000284e+01,-4.554826741748000529e+01
-6.909999999999999432e+01,-4.548244622178999919e+01
