t_code_units,ps
8.682000000000000739e+01,5.714596209805800697e+01
8.692000000000000171e+01,5.721178329374799887e+01
8.702000000000001023e+01,5.727760448943800498e+01
8.712000000000000455e+01,5.734342568512800398e+01
8.721999999999999886e+01,5.740924688081800298e+01
8.732000000000000739e+01,5.747506807650800198e+01
8.742000000000000171e+01,5.754088927219800098e+01
8.752000000000001023e+01,5.760671046788800709e+01
8.762000000000000455e+01,5.767253166357800609e+01
8.771999999999999886e+01,5.773835285926799799e+01
8.782000000000000739e+01,5.780417405495800409e+01
8.792000000000000171e+01,5.786999525064800309e+01
8.802000000000001023e+01,5.793581644633800920e+01
8.812000000000000455e+01,5.800163764202800110e+01
8.821999999999999886e+01,5.806745883771800010e+01
8.832000000000000739e+01,5.813328003340800620e+01
8.842000000000000171e+01,5.819910122909799810e+01
8.852000000000001023e+01,5.826492242478800421e+01
8.862000000000000455e+01,5.833074362047800321e+01
8.871999999999999886e+01,5.839656481616800221e+01
8.882000000000000739e+01,5.846238601185800832e+01
8.892000000000000171e+01,5.852820720754800021e+01
8.902000000000001023e+01,5.859402840323800632e+01
8.912000000000000455e+01,5.865984959892800532e+01
8.921999999999999886e+01,5.872567079461799722e+01
8.932000000000000739e+01,5.879149199030800332e+01
8.942000000000000171e+01,5.885731318599800233e+01
8.952000000000001023e+01,5.892313438168800843e+01
8.962000000000000455e+01,5.898895557737800033e+01
8.971999999999999886e+01,5.905477677306799933e+01
8.982000000000000739e+01,5.912059796875800544e+01
8.992000000000000171e+01,5.918641916444800444e+01
9.002000000000001023e+01,5.925224036013801054e+01
9.012000000000000455e+01,5.931806155582800244e+01
9.021999999999999886e+01,5.938388275151800144e+01
9.032000000000000739e+01,5.944970394720800755e+01
9.042000000000000171e+01,5.951552514289799944e+01
9.052000000000001023e+01,5.958134633858800555e+01
9.062000000000000455e+01,5.964716753427800455e+01
9.071999999999999886e+01,5.971298872996799645e+01
9.082000000000000739e+01,5.977880992565800256e+01
9.092000000000000171e+01,5.984463112134800156e+01
9.102000000000001023e+01,5.991045231703800766e+01
9.112000000000000455e+01,5.997627351272800666e+01
9.121999999999999886e+01,6.004209470841799856e+01
9.132000000000000739e+01,6.010791590410800467e+01
9.142000000000000171e+01,6.017373709979800367e+01
9.152000000000001023e+01,6.023955829548800978e+01
9.162000000000000455e+01,6.030537949117800167e+01
9.171999999999999886e+01,6.037120068686800067e+01
9.182000000000000739e+01,6.043702188255800678e+01
