tau_code_units,ps
-9.459999999999999432e+01,-6.226685112274000033e+01
-9.440000000000000568e+01,-6.213520873136000233e+01
-9.420000000000000284e+01,-6.200356633998000433e+01
-9.400000000000000000e+01,-6.187192394859999922e+01
-9.379999999999999716e+01,-6.174028155722000122e+01
-9.359999999999999432e+01,-6.160863916583999611e+01
-9.339999999999999147e+01,-6.147699677445999811e+01
-9.320000000000000284e+01,-6.134535438308000010e+01
-9.300000000000000000e+01,-6.121371199170000210e+01
-9.279999999999999716e+01,-6.108206960031999699e+01
-9.259999999999999432e+01,-6.095042720893999899e+01
-9.239999999999999147e+01,-6.081878481755999388e+01
-9.220000000000000284e+01,-6.068714242618000299e+01
-9.200000000000000000e+01,-6.055550003479999788e+01
-9.179999999999999716e+01,-6.042385764341999987e+01
-9.159999999999999432e+01,-6.029221525203999477e+01
-9.139999999999999147e+01,-6.016057286065999676e+01
-9.120000000000000284e+01,-6.002893046928000587e+01
-9.100000000000000000e+01,-5.989728807790000076e+01
-9.079999999999999716e+01,-5.976564568651999565e+01
-9.059999999999999432e+01,-5.963400329513999765e+01
-9.039999999999999147e+01,-5.950236090375999254e+01
-9.020000000000000284e+01,-5.937071851238000164e+01
-9.000000000000000000e+01,-5.923907612100000364e+01
-8.979999999999999716e+01,-5.910743372961999853e+01
-8.959999999999999432e+01,-5.897579133823999342e+01
-8.939999999999999147e+01,-5.884414894685999542e+01
-8.920000000000000284e+01,-5.871250655548000452e+01
-8.900000000000000000e+01,-5.858086416409999941e+01
-8.879999999999999716e+01,-5.844922177272000141e+01
-8.859999999999999432e+01,-5.831757938133999630e+01
-8.839999999999999147e+01,-5.818593698995999830e+01
-8.820000000000000284e+01,-5.805429459858000030e+01
-8.800000000000000000e+01,-5.792265220720000229e+01
-8.779999999999999716e+01,-5.779100981581999719e+01
-8.759999999999999432e+01,-5.765936742443999918e+01
-8.739999999999999147e+01,-5.752772503305999408e+01
-8.720000000000000284e+01,-5.739608264168000318e+01
-8.700000000000000000e+01,-5.726444025029999807e+01
-8.679999999999999716e+01,-5.713279785892000007e+01
-8.659999999999999432e+01,-5.700115546753999496e+01
-8.639999999999999147e+01,-5.686951307615999696e+01
-8.620000000000000284e+01,-5.673787068477999895e+01
-8.600000000000000000e+01,-5.660622829340000095e+01
-8.579999999999999716e+01,-5.647458590201999584e+01
-8.559999999999999432e+01,-5.634294351063999784e+01
-8.539999999999999147e+01,-5.621130111925999273e+01
-8.520000000000000284e+01,-5.607965872788000183e+01
-8.500000000000000000e+01,-5.594801633650000383e+01
-8.479999999999999716e+01,-5.581637394511999872e+01
-8.459999999999999432e+01,-5.568473155373999361e+01
-8.439999999999999147e+01,-5.555308916235999561e+01
-8.420000000000000284e+01,-5.542144677098000471e+01
-8.400000000000000000e+01,-5.528980437959999961e+01
-8.379999999999999716e+01,-5.515816198822000160e+01
-8.359999999999999432e+01,-5.502651959683999650e+01
-8.339999999999999147e+01,-5.489487720545999139e+01
-8.320000000000000284e+01,-5.476323481408000049e+01
-8.300000000000000000e+01,-5.463159242270000249e+01
-8.279999999999999716e+01,-5.449995003131999738e+01
-8.259999999999999432e+01,-5.436830763993999938e+01
-8.239999999999999147e+01,-5.423666524855999427e+01
-8.220000000000000284e+01,-5.410502285718000337e+01
-8.200000000000000000e+01,-5.397338046579999826e+01
-8.179999999999999716e+01,-5.384173807442000026e+01
-8.159999999999999432e+01,-5.371009568303999515e+01
-8.139999999999999147e+01,-5.357845329165999715e+01
-8.120000000000000284e+01,-5.344681090027999915e+01
-8.100000000000000000e+01,-5.331516850890000114e+01
-8.079999999999999716e+01,-5.318352611751999603e+01
-8.059999999999999432e+01,-5.305188372613999803e+01
-8.039999999999999147e+01,-5.292024133475999292e+01
-8.020000000000000284e+01,-5.278859894338000203e+01
-8.000000000000000000e+01,-5.265695655199999692e+01
-7.979999999999999716e+01,-5.252531416061999892e+01
-7.959999999999999432e+01,-5.239367176923999381e+01
-7.939999999999999147e+01,-5.226202937785999580e+01
-7.920000000000000284e+01,-5.213038698648000491e+01
-7.900000000000000000e+01,-5.199874459509999980e+01
-7.879999999999999716e+01,-5.186710220372000180e+01
-7.859999999999999432e+01,-5.173545981233999669e+01
-7.839999999999999147e+01,-5.160381742095999158e+01
-7.820000000000000284e+01,-5.147217502958000068e+01
-7.800000000000000000e+01,-5.134053263820000268e+01
-7.779999999999999716e+01,-5.120889024681999757e+01
-7.759999999999999432e+01,-5.107724785543999957e+01
-7.739999999999999147e+01,-5.094560546405999446e+01
-7.720000000000000284e+01,-5.081396307268000356e+01
-7.700000000000000000e+01,-5.068232068129999845e+01
-7.679999999999999716e+01,-5.055067828992000045e+01
-7.659999999999999432e+01,-5.041903589853999534e+01
-7.639999999999999147e+01,-5.028739350715999734e+01
-7.620000000000000284e+01,-5.015575111577999934e+01
-7.600000000000000000e+01,-5.002410872440000134e+01
-7.579999999999999716e+01,-4.989246633301999623e+01
-7.559999999999999432e+01,-4.976082394163999822e+01
-7.539999999999999147e+01,-4.962918155025999312e+01
-7.520000000000000284e+01,-4.949753915888000222e+01
-7.500000000000000000e+01,-4.936589676749999711e+01
-7.479999999999999716e+01,-4.923425437611999911e+01
-7.459999999999999432e+01,-4.910261198473999400e+01
-7.439999999999999147e+01,-4.897096959335999600e+01
-7.420000000000000284e+01,-4.883932720198000510e+01
-7.400000000000000000e+01,-4.870768481059999999e+01
-7.379999999999999716e+01,-4.857604241922000199e+01
-7.359999999999999432e+01,-4.844440002783999688e+01
-7.339999999999999147e+01,-4.831275763645999177e+01
